Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os
Apple,Ultrabook,8,1.37,11.17575455,No,Yes,226.9830047,Intel Core i5,0,128,Intel,Mac
Apple,Ultrabook,8,1.34,10.77677732,No,No,127.6779401,Intel Core i5,0,0,Intel,Mac
HP,Notebook,8,1.86,10.32993107,No,No,141.2119981,Intel Core i5,0,256,Intel,Others
Apple,Ultrabook,16,1.83,11.81447594,No,Yes,220.5346239,Intel Core i7,0,512,AMD,Mac
Apple,Ultrabook,8,1.37,11.47310097,No,Yes,226.9830047,Intel Core i5,0,,Intel,Mac
Acer,Notebook,4,2.1,9.967025573,No,No,100.4546699,AMD Processor,500,0,,Windows
Apple,Ultrabook,16,2.04,11.64410812,No,Yes,220.5346239,Intel Core i7,0,0,Intel,Mac
Apple,Ultrabook,8,1.34,11.03061499,No,No,127.6779401,Intel Core i5,0,0,Intel,Mac
Asus,Ultrabook,16,1.3,11.28544251,No,No,157.3505121,Intel Core i7,0,,Nvidia,Windows
Acer,Ultrabook,8,1.6,10.62195154,No,Yes,157.3505121,Intel Core i5,0,256,,Windows
HP,Notebook,4,1.86,9.951658096,No,No,100.4546699,Intel Core i5,500,0,,Others
HP,Notebook,4,1.86,9.819076457,No,No,141.2119981,Intel Core i3,500,0,Intel,Others
Apple,Ultrabook,16,1.83,11.77530205,No,Yes,220.5346239,Intel Core i7,0,256,AMD,Mac
Dell,Notebook,4,2.2,10.1879667,No,No,141.2119981,Intel Core i3,0,256,AMD,Windows
Apple,Ultrabook,8,0.92,11.11633098,No,Yes,226.4155472,Other Intel Processor,0,256,Intel,Mac
Apple,Ultrabook,8,1.37,11.30107224,No,Yes,226.9830047,Intel Core i5,0,256,,Mac
Dell,Notebook,8,2.2,10.58894524,No,No,141.2119981,Intel Core i7,0,256,AMD,Windows
Apple,Ultrabook,16,1.83,11.93343838,No,Yes,220.5346239,Intel Core i7,0,512,,Mac
Lenovo,Notebook,8,2.2,10.18816712,No,No,141.2119981,Intel Core i3,1000,,,Others
Dell,Ultrabook,8,1.22,10.86209267,Yes,Yes,165.6321181,Intel Core i5,0,,,Windows
Asus,Netbook,2,0.98,9.232535429,No,No,135.0942112,Other Intel Processor,0,0,,Windows
Lenovo,Gaming,8,2.5,10.8823158,No,Yes,141.2119981,Intel Core i5,1000,128,,Windows
HP,Notebook,4,1.86,9.528520611,No,No,100.4546699,AMD Processor,500,0,AMD,Others
Dell,2 in 1 Convertible,8,1.62,10.68364511,Yes,No,165.6321181,Intel Core i5,0,256,Intel,Windows
HP,Ultrabook,8,1.91,10.46628456,No,No,141.2119981,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,4,2.3,10.01257239,No,No,100.4546699,Intel Core i3,1000,0,Intel,Windows
Apple,Ultrabook,8,1.35,10.97771698,No,No,127.6779401,Intel Core i5,0,0,Intel,Mac
Dell,Notebook,8,2.2,10.66017275,No,No,141.2119981,Intel Core i5,0,256,AMD,Windows
Dell,Ultrabook,8,1.88,11.14414092,No,No,141.2119981,Intel Core i7,0,512,Intel,Windows
HP,Notebook,8,2.5,10.77350144,No,No,127.3356746,Intel Core i5,1000,0,Nvidia,Windows
Chuwi,Notebook,4,1.89,9.47677842,No,No,141.2119981,Other Intel Processor,0,0,Intel,Windows
Asus,Notebook,2,1.65,9.268865851,No,No,111.9352036,AMD Processor,0,0,AMD,Windows
HP,Notebook,4,2.71,10.06006044,No,No,127.3356746,AMD Processor,500,0,AMD,Windows
Dell,Ultrabook,16,1.2,11.50871983,Yes,No,276.0535301,Intel Core i7,0,512,Intel,Windows
Apple,Ultrabook,8,1.35,10.8813143,No,No,127.6779401,Intel Core i5,0,0,Intel,Mac
Lenovo,Notebook,4,1.44,9.493013923,No,No,111.9352036,Other Intel Processor,0,0,Intel,Windows
Acer,Notebook,4,2.1,9.880922874,No,No,100.4546699,Intel Core i3,1000,0,Intel,Others
Dell,Notebook,8,2.8,10.86209267,No,Yes,127.3356746,Intel Core i5,1000,128,AMD,Windows
HP,Notebook,4,1.86,10.16728937,No,No,100.4546699,Intel Core i5,1000,0,Intel,Windows
HP,Notebook,8,2.1,10.75434592,No,No,141.2119981,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,4,2,9.93914037,No,No,141.2119981,Intel Core i3,1000,,Intel,Others
Dell,Gaming,16,2.65,11.28811452,No,Yes,141.2119981,Intel Core i7,1000,,,Windows
Asus,Notebook,8,2.3,10.23512337,No,No,100.4546699,Intel Core i5,1000,0,Nvidia,Others
Acer,Notebook,4,2.2,10.50059068,No,Yes,141.2119981,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,12,2.77,10.8823158,Yes,No,127.3356746,Intel Core i5,1000,0,Nvidia,Windows
Apple,Ultrabook,8,1.37,11.2332687,No,Yes,226.9830047,Intel Core i5,0,256,,Mac
Lenovo,Notebook,4,2.2,9.88635767,No,No,100.4546699,Intel Core i3,0,128,Intel,Others
Asus,Gaming,8,3.2,11.14491104,No,No,127.3356746,AMD Processor,1000,256,,Windows
Dell,Notebook,4,2.3,10.43546548,No,No,141.2119981,Intel Core i5,0,256,,Windows
Asus,Notebook,4,2.8,10.11974666,No,No,90.58340172,Other Intel Processor,1000,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,4,0.69,9.740752129,Yes,Yes,224.1738091,Other Intel Processor,0,0,Intel,Others
Acer,Notebook,8,2.2,10.71015269,No,Yes,141.2119981,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,1.86,9.96324343,No,No,141.2119981,AMD Processor,0,256,AMD,Windows
HP,Notebook,8,1.49,10.98135005,No,No,165.6321181,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,4,2.4,9.926203579,No,No,100.4546699,Intel Core i3,1000,0,Intel,Windows
Dell,Notebook,8,2.13,10.61909031,No,No,141.2119981,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,1.91,10.06006044,No,No,141.2119981,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,4,2,10.349205,No,No,100.4546699,Intel Core i5,0,256,Intel,Windows
MSI,Gaming,16,2.43,11.77899608,No,No,127.3356746,Intel Core i7,2000,,Nvidia,Windows
Asus,Notebook,4,2,10.00383955,No,No,141.2119981,Intel Core i3,0,256,Intel,Others
Dell,Notebook,16,2.8,11.14491104,No,No,127.3356746,Intel Core i7,2000,256,AMD,Windows
Dell,Ultrabook,8,1.7,10.75434592,No,No,157.3505121,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,8,1.7,10.37082262,No,Yes,157.3505121,Intel Core i3,0,256,,Others
Asus,Notebook,8,1.4,10.82250417,No,No,157.3505121,Intel Core i5,0,256,,Windows
HP,Notebook,8,1.86,10.51225262,No,No,141.2119981,Intel Core i5,0,256,,Windows
Asus,Ultrabook,16,1.8,11.56792715,No,No,141.2119981,Intel Core i7,0,512,Nvidia,Windows
HP,Notebook,4,1.86,10.05935404,No,No,100.4546699,Intel Core i3,500,0,AMD,Windows
